idProject;refType;refId;idResource;rate
31;Activity;635;267;100
31;Activity;635;257;100
31;Activity;635;255;100
31;Activity;635;229;100
31;Activity;635;227;100
31;Activity;635;202;100
31;Activity;635;200;100
31;Activity;635;199;100
31;Activity;635;197;100
31;Activity;635;195;100
31;Activity;635;194;100
31;Activity;635;180;100
31;Activity;635;119;100
31;Activity;635;90;100
31;Activity;635;87;100
31;Activity;635;77;100
31;Activity;635;66;100
31;Activity;635;53;100
31;Activity;635;47;100
31;Activity;635;42;100
31;Activity;635;40;100
31;Activity;635;39;100
31;Activity;635;34;100
31;Activity;635;22;100
31;Activity;635;20;100
31;Activity;637;267;100
31;Activity;637;257;100
31;Activity;637;255;100
31;Activity;637;229;100
31;Activity;637;227;100
31;Activity;637;202;100
31;Activity;637;200;100
31;Activity;637;199;100
31;Activity;637;197;100
31;Activity;637;195;100
31;Activity;637;194;100
31;Activity;637;180;100
31;Activity;637;119;100
31;Activity;637;90;100
31;Activity;637;87;100
31;Activity;637;77;100
31;Activity;637;66;100
31;Activity;637;53;100
31;Activity;637;47;100
31;Activity;637;42;100
31;Activity;637;40;100
31;Activity;637;39;100
31;Activity;637;34;100
31;Activity;637;22;100
31;Activity;637;20;100
31;Activity;638;267;100
31;Activity;638;257;100
31;Activity;638;255;100
31;Activity;638;229;100
31;Activity;638;227;100
31;Activity;638;202;100
31;Activity;638;200;100
31;Activity;638;199;100
31;Activity;638;197;100
31;Activity;638;195;100
31;Activity;638;194;100
31;Activity;638;180;100
31;Activity;638;119;100
31;Activity;638;90;100
31;Activity;638;87;100
31;Activity;638;77;100
31;Activity;638;66;100
31;Activity;638;53;100
31;Activity;638;47;100
31;Activity;638;42;100
31;Activity;638;40;100
31;Activity;638;39;100
31;Activity;638;34;100
31;Activity;638;22;100
31;Activity;638;20;100
31;Activity;639;267;100
31;Activity;639;257;100
31;Activity;639;255;100
31;Activity;639;229;100
31;Activity;639;227;100
31;Activity;639;202;100
31;Activity;639;200;100
31;Activity;639;199;100
31;Activity;639;197;100
31;Activity;639;195;100
31;Activity;639;194;100
31;Activity;639;180;100
31;Activity;639;119;100
31;Activity;639;90;100
31;Activity;639;87;100
31;Activity;639;77;100
31;Activity;639;66;100
31;Activity;639;53;100
31;Activity;639;47;100
31;Activity;639;42;100
31;Activity;639;40;100
31;Activity;639;39;100
31;Activity;639;34;100
31;Activity;639;22;100
31;Activity;639;20;100
31;Activity;640;267;100
31;Activity;640;257;100
31;Activity;640;255;100
31;Activity;640;229;100
31;Activity;640;227;100
31;Activity;640;202;100
31;Activity;640;200;100
31;Activity;640;199;100
31;Activity;640;197;100
31;Activity;640;195;100
31;Activity;640;194;100
31;Activity;640;180;100
31;Activity;640;119;100
31;Activity;640;90;100
31;Activity;640;87;100
31;Activity;640;77;100
31;Activity;640;66;100
31;Activity;640;53;100
31;Activity;640;47;100
31;Activity;640;42;100
31;Activity;640;40;100
31;Activity;640;39;100
31;Activity;640;34;100
31;Activity;640;22;100
31;Activity;640;20;100
